date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:02:38	94380/94380	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b115-170ac%22	https://www.cubictheme.ga/cubic-html/form-layout.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/form-layout.html	(from )
12:02:38	125/125	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2017%20Mar%202019%2006:32:37%20GMT	https://www.cubictheme.ga/robots.txt		(from )
12:02:39	121200/121200	---M--	200	added ('OK')	text/css	etag:%225c00b139-1d970%22	https://www.cubictheme.ga/cubic-html/bootstrap/dist/css/bootstrap.min.css	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/bootstrap/dist/css/bootstrap.min.css	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:39	775485/775485	---M--	200	added ('OK')	image/png	etag:%225b2b4826-bd53d%22	https://www.cubictheme.ga/plugins/images/favicon.png	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/favicon.png	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:39	56455/56455	---M--	200	added ('OK')	text/css	etag:%225c00b11f-dc87%22	https://www.cubictheme.ga/cubic-html/css/animate.css	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/css/animate.css	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:39	212628/212628	---M--	200	added ('OK')	text/css	etag:%225c00b120-33e94%22	https://www.cubictheme.ga/cubic-html/css/style.css	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/css/style.css	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:39	1601/1601	---M--	200	added ('OK')	text/css	etag:%225c00b133-641%22	https://www.cubictheme.ga/cubic-html/css/colors/default.css	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/css/colors/default.css	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:40	61261/61261	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b116-ef4d%22	https://www.cubictheme.ga/cubic-html/index.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/index.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:40	1914/1914	---M--	200	added ('OK')	image/png	etag:%225b2b4830-77a%22	https://www.cubictheme.ga/plugins/images/logo.png	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/logo.png	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:40	1716/1716	---M--	200	added ('OK')	image/png	etag:%225b2b482f-6b4%22	https://www.cubictheme.ga/plugins/images/logo-text.png	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/logo-text.png	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:40	73288/73288	---M--	200	added ('OK')	image/jpeg	etag:%225b2b4835-11e48%22	https://www.cubictheme.ga/plugins/images/users/1.jpg	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/users/1.jpg	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:40	41437/41437	---M--	200	added ('OK')	image/jpeg	etag:%225b2b4836-a1dd%22	https://www.cubictheme.ga/plugins/images/users/2.jpg	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/users/2.jpg	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:41	45397/45397	---M--	200	added ('OK')	image/jpeg	etag:%225b2b4836-b155%22	https://www.cubictheme.ga/plugins/images/users/3.jpg	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/users/3.jpg	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:41	120023/120023	---M--	200	added ('OK')	image/jpeg	etag:%225b2b4837-1d4d7%22	https://www.cubictheme.ga/plugins/images/users/4.jpg	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/users/4.jpg	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:41	619619/619619	---M--	200	added ('OK')	image/jpeg	etag:%225b2b4839-97463%22	https://www.cubictheme.ga/plugins/images/users/hanna.jpg	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/plugins/images/users/hanna.jpg	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:41	56786/56786	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b116-ddd2%22	https://www.cubictheme.ga/cubic-html/index2.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/index2.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:42	59874/59874	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b116-e9e2%22	https://www.cubictheme.ga/cubic-html/index3.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/index3.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:42	46533/46533	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b116-b5c5%22	https://www.cubictheme.ga/cubic-html/index4.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/index4.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:42	42810/42810	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b119-a73a%22	https://www.cubictheme.ga/cubic-html/products.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/products.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
12:02:42	44911/44911	---MCZ	200	added ('OK')	text/html	etag:W/%225c00b119-af6f%22	https://www.cubictheme.ga/cubic-html/product-detail.html	C:/Users/S%20Goutham/Desktop/project/cultural_fest%20admin/www.cubictheme.ga/cubic-html/product-detail.html	(from https://www.cubictheme.ga/cubic-html/form-layout.html)
